label,fenci
异常,/.. ../ ./. /.s .sl sln
异常,"/fc fc9 c9t 9t5 t54 54l 4l7 l7. 7.c .cf cfm fm? m?< ?<s <sc scr cri rip ipt pt> t>d >do doc ocu cum ume men ent nt. t.c .co coo ook oki kie ie= e="" =""t ""te tes est stg tgg gga gad ad= d=2 =20 200 000 00; 0;"" ;""< ""</ </s /sc scr cri rip ipt pt>"
正常,/10 108 085 856 569 69_ 9_m _mi mis iss ssi sil ile le1 e14 14/
异常,/sc scr cri rip ipt pts ts/ s/f /fo for oru rum um. m.p .ph php hp3 p3? 3?i ?id id_ d_a _ar art rti tic icl cle le= e=1 =1& 1&i &id id_ d_f _fo for oru rum um= m=- =-1 -1/ 1/* /** **/ */u /un uni nio ion on/ n/* /** **/ */s /se sel ele lec ect ct  t 1  14 144 444 448 483 832 327 270 703 03- 3--
正常,/ro row ow2 w2_ 2_j _jo joi oin int nt/
正常,/bu bur urn rni nin ing ng  g f  fa fat at/
正常,/kj kje jer era rag ag2 g20 200 004 04_ 4_0 _00 009 099 99/
正常,/in inc ncl clu lud ude des es/ s/t /tu tum umb mbn bna nai ail il. l.p .ph php hp? p?c ?co con onf nfi fig ig[ g[r [ro roo oot ot_ t_o _or ord rdn dne ner er] r]= ]=h =ht htt ttp tp: p:/ :// //c /ci cir irt rt. t.n .ne net et/ t/r /rf rfi fii iin inc nc. c.t .tx txt xt? t??
正常,/le lef eft ftc tco cor orn rne ner erg rgr gre rey ey/
异常,/ph php hpm pmy mya yad adm dmi min in/ n/s /sy sys ysi sin inf nfo fo. o.c .cg cgi gi? i?a ?ac act cti tio ion on= n=s =sy sys yst ste tem emd mdo doc oc& c&n &na nam ame me= e=s =sy sys ysi sin inf nfo fo_ o_n _na nam ame me_ e_c _cm cmd md_ d_e _ex exe xec ec. c.n .na nas asl sl; l;i ;id
正常,/ph php hpm pmy mya yad adm dmi min in/ n/i /in ind nde dex ex. x.p .ph php hp? p?b ?bo boa oar ard rd= d=n =no non one nex exi xis ist sta tan ant nt2 t26 268 682 822 220 203 039 399
异常,"/zv zv8 v8t 8tv tv7 v7h 7h8 h8. 8.h .ht htm tml ml? l?< ?<m <me met eta ta  a h  ht htt ttp tp- p-e -eq equ qui uiv iv= v=s =se set et- t-c -co coo ook oki kie ie  e c  co con ont nte ten ent nt= t="" =""t ""te tes est stc tcq cqw qwz wz= z=9 =97 975 752 52"" 2"">"
正常,/ga gas as_ s_a _av ave ver era rag age ge/
正常,/he hel elp lp. p.p .ph php hp? p?q ?q= q=| =|p |pi pin ing ng\ g\x \x0 x0c 0c- c-w -w\ w\x \x0 x0c 0c7 c70 700 000 00\ 0\x \x0 x0c 0c- c-n -n\ n\x \x0 x0c 0c1 c1\ 1\x \x0 x0c 0c1 c1. 1.2 .2. 2.3 .3. 3.4 .4| 4|r |re rem em\ m\x \x0 x0c
正常,/ex exp xpe per eri rie ien enc nce ce2 e2/ 2/m /mo mod odu dul ule les es. s.p .ph php hp? p?f ?fi fil ile le= e=h =ht htt ttp tp: p:/ :// //1 /19 192 92. 2.1 .16 168 68. 8.2 .20 202 02. 2.9 .96 96: 6:8 :80 808 080 80/ 0/s /sw swg wgn gnh nhp hpy pyd ydb dbq bq0 q0t 0t?
异常,${s {sh she hel ell ll_ l_e _ex exe xec ec( c(p (pr pri rin int nt( t(` (`e `ec ech cho ho% o%2 %20 20K 0KR KRL RLQ LQH QHL HL\ L\n \ne nec ech cho ho% o%2 %20 20$ 0$( $(( ((3 (37 37% 7%2 %2B 2B5 B53 53) 3)) ))\ )\n \ne nec ech cho ho% o%2 %20 20K 0KR KRL RLQ LQH QHL HL\ L\n \ne nec ech cho ho% o%2 %20 20K 0KR KRL RLQ LQH QHL HL` L`) `)% )%3 %3B 3B% B%2 %25 252 525 252 525 255 55C 5C% C%2 %25 252 525 252 525 255 55C 5CK CKR KRL RLQ LQH QHL
正常,/sl sld ld0 d01 011 11/
正常,/87 870 702 027 273 73/
